Episode 366/10000, Avg Reward: 143.03, Explained Var: 0.06
Episode 367/10000, Avg Reward: 611.73, Explained Var: 0.02
Episode 368/10000, Avg Reward: 791.79, Explained Var: 0.01
Episode 369/10000, Avg Reward: 712.28, Explained Var: 0.02
Episode 370/10000, Avg Reward: 354.96, Explained Var: 0.02
Episode 371/10000, Avg Reward: 702.79, Explained Var: 0.01
Episode 372/10000, Avg Reward: 29.92, Explained Var: 0.28
Episode 373/10000, Avg Reward: 114.63, Explained Var: 0.08
Episode 374/10000, Avg Reward: 1188.71, Explained Var: 0.01
Episode 375/10000, Avg Reward: 34.93, Explained Var: 0.30
Episode 376/10000, Avg Reward: 65.12, Explained Var: 0.12
Episode 377/10000, Avg Reward: 605.06, Explained Var: 0.01
Episode 378/10000, Avg Reward: 555.10, Explained Var: 0.02
Episode 379/10000, Avg Reward: 298.27, Explained Var: 0.03
Episode 380/10000, Avg Reward: 326.68, Explained Var: 0.03
Episode 381/10000, Avg Reward: 97.02, Explained Var: 0.10
Episode 382/10000, Avg Reward: 509.18, Explained Var: 0.02
Episode 383/10000, Avg Reward: 480.32, Explained Var: 0.02
Episode 384/10000, Avg Reward: 454.99, Explained Var: 0.02
Episode 385/10000, Avg Reward: 750.84, Explained Var: 0.02
Episode 386/10000, Avg Reward: 32.54, Explained Var: 0.29
Episode 387/10000, Avg Reward: 197.08, Explained Var: 0.03
Episode 388/10000, Avg Reward: 23.55, Explained Var: 0.21
Episode 389/10000, Avg Reward: 427.62, Explained Var: 0.03
Episode 390/10000, Avg Reward: 553.57, Explained Var: 0.02
Episode 391/10000, Avg Reward: 954.00, Explained Var: 0.01
Episode 392/10000, Avg Reward: 553.38, Explained Var: 0.02
Episode 393/10000, Avg Reward: 459.95, Explained Var: 0.03
Episode 394/10000, Avg Reward: 401.20, Explained Var: 0.03
Episode 395/10000, Avg Reward: 426.05, Explained Var: 0.02
Episode 396/10000, Avg Reward: 750.33, Explained Var: 0.02
Episode 397/10000, Avg Reward: 65.40, Explained Var: 0.16
Episode 398/10000, Avg Reward: 895.82, Explained Var: 0.02
Episode 399/10000, Avg Reward: 568.55, Explained Var: 0.02
Episode 400/10000, Avg Reward: 1086.32, Explained Var: 0.01
Episode 401/10000, Avg Reward: 419.81, Explained Var: 0.03
Episode 402/10000, Avg Reward: 683.59, Explained Var: 0.02
Episode 403/10000, Avg Reward: 139.60, Explained Var: 0.05
Episode 404/10000, Avg Reward: 285.98, Explained Var: 0.02
Episode 405/10000, Avg Reward: 376.55, Explained Var: 0.03
Episode 406/10000, Avg Reward: 35.41, Explained Var: 0.30
Episode 407/10000, Avg Reward: 49.68, Explained Var: 0.15
Episode 408/10000, Avg Reward: 26.06, Explained Var: 0.41
Episode 409/10000, Avg Reward: 286.57, Explained Var: 0.03
Episode 410/10000, Avg Reward: 553.68, Explained Var: 0.01
Episode 411/10000, Avg Reward: 152.84, Explained Var: 0.08
Episode 412/10000, Avg Reward: 198.55, Explained Var: 0.05
Episode 413/10000, Avg Reward: 20.11, Explained Var: 0.35
Episode 414/10000, Avg Reward: 212.12, Explained Var: 0.06
Episode 415/10000, Avg Reward: 691.94, Explained Var: 0.02
Episode 416/10000, Avg Reward: 66.22, Explained Var: 0.14
Episode 417/10000, Avg Reward: 132.77, Explained Var: 0.08
Episode 418/10000, Avg Reward: 359.98, Explained Var: 0.03
Episode 419/10000, Avg Reward: 196.24, Explained Var: 0.06
Episode 420/10000, Avg Reward: 465.53, Explained Var: 0.03
Episode 421/10000, Avg Reward: 420.38, Explained Var: 0.03
Episode 422/10000, Avg Reward: 762.13, Explained Var: 0.01
Episode 423/10000, Avg Reward: 529.69, Explained Var: 0.03
Episode 424/10000, Avg Reward: 838.91, Explained Var: 0.02
Episode 425/10000, Avg Reward: 141.67, Explained Var: 0.09
Episode 426/10000, Avg Reward: 516.06, Explained Var: 0.02
Episode 427/10000, Avg Reward: 347.57, Explained Var: 0.03
Episode 428/10000, Avg Reward: 423.62, Explained Var: 0.03
Episode 429/10000, Avg Reward: 26.21, Explained Var: 0.15
Episode 430/10000, Avg Reward: 262.46, Explained Var: 0.05
Episode 431/10000, Avg Reward: 451.25, Explained Var: 0.03
Episode 432/10000, Avg Reward: 486.98, Explained Var: 0.03
Episode 433/10000, Avg Reward: 30.23, Explained Var: 0.28
Episode 434/10000, Avg Reward: 33.41, Explained Var: 0.35
Episode 435/10000, Avg Reward: 106.29, Explained Var: 0.13
Episode 436/10000, Avg Reward: 28.68, Explained Var: 0.40
Episode 437/10000, Avg Reward: 138.62, Explained Var: 0.10
