Episode 401/10000, Avg Reward: 31.11, Explained Var: 0.33
Episode 402/10000, Avg Reward: 790.31, Explained Var: 0.02
Episode 403/10000, Avg Reward: 559.70, Explained Var: 0.02
Episode 404/10000, Avg Reward: 208.19, Explained Var: 0.05
Episode 405/10000, Avg Reward: 703.83, Explained Var: 0.02
Episode 406/10000, Avg Reward: 330.36, Explained Var: 0.03
Episode 407/10000, Avg Reward: 197.08, Explained Var: 0.05
Episode 408/10000, Avg Reward: 35.93, Explained Var: 0.31
Episode 409/10000, Avg Reward: 138.71, Explained Var: 0.09
Episode 410/10000, Avg Reward: 19.48, Explained Var: 0.39
Episode 411/10000, Avg Reward: 411.41, Explained Var: 0.03
Episode 412/10000, Avg Reward: 786.04, Explained Var: 0.02
Episode 413/10000, Avg Reward: 169.27, Explained Var: 0.06
Episode 414/10000, Avg Reward: 729.45, Explained Var: 0.02
Episode 415/10000, Avg Reward: 206.41, Explained Var: 0.05
Episode 416/10000, Avg Reward: 35.33, Explained Var: 0.26
Episode 417/10000, Avg Reward: 150.61, Explained Var: 0.07
Episode 418/10000, Avg Reward: 31.12, Explained Var: 0.28
Episode 419/10000, Avg Reward: 351.99, Explained Var: 0.02
Episode 420/10000, Avg Reward: 27.58, Explained Var: 0.37
Episode 421/10000, Avg Reward: 129.16, Explained Var: 0.09
Episode 422/10000, Avg Reward: 897.78, Explained Var: 0.02
Episode 423/10000, Avg Reward: 46.65, Explained Var: 0.20
Episode 424/10000, Avg Reward: 281.99, Explained Var: 0.04
Episode 425/10000, Avg Reward: 1007.89, Explained Var: 0.01
Episode 426/10000, Avg Reward: 26.65, Explained Var: 0.45
Episode 427/10000, Avg Reward: 254.06, Explained Var: 0.05
Episode 428/10000, Avg Reward: 293.11, Explained Var: 0.04
Episode 429/10000, Avg Reward: 335.37, Explained Var: 0.04
Episode 430/10000, Avg Reward: 389.85, Explained Var: 0.03
Episode 431/10000, Avg Reward: 417.76, Explained Var: 0.03
Episode 432/10000, Avg Reward: 34.10, Explained Var: 0.33
Episode 433/10000, Avg Reward: 214.57, Explained Var: 0.06
Episode 434/10000, Avg Reward: 194.22, Explained Var: 0.04
Episode 435/10000, Avg Reward: 407.61, Explained Var: 0.03
Episode 436/10000, Avg Reward: 22.83, Explained Var: 0.33
Episode 437/10000, Avg Reward: 311.38, Explained Var: 0.04
