sld,occurrence_count,words,word_count,length,vowels,consonants,vowel_percentage
measurementapi,82566,"['measurement', 'api']",2,14,7,7,50.0
onlinehome-server,81694,"['online', 'home', 'server']",3,17,7,10,41.18
huarachesshoes,81150,"['hua', 'rache', 'shoes']",3,14,6,8,42.86
australian-business-online,80982,"['australian', 'business', 'online']",3,26,11,15,42.31
hotsexyandbigtity,80860,"['hot', 'sexy', 'and', 'big']",4,17,5,12,29.41
sparkpostmail,80729,"['spark', 'post', 'mail']",3,13,4,9,30.77
radiostream321,80611,"['radio', 'stream', '321']",3,14,5,9,35.71
executivadigital,80496,"['exe', 'cut', 'digital']",3,16,8,8,50.0
allhotelscalifornia,80114,"['all', 'hotels', 'california']",3,19,8,11,42.11
fastwebserver,80094,"['fast', 'web', 'server']",3,13,4,9,30.77
arteria-hikari,79977,"['arte', 'ria', 'hikari']",3,14,7,7,50.0
businessinternet,79922,"['business', 'internet']",2,16,6,10,37.5
tiexinhuafang,79476,"['tie', 'xinhua', 'fang']",3,13,6,7,46.15
astra2connect,79335,"['astra', 'connect']",2,13,4,9,30.77
topdestination,79233,"['top', 'destination']",2,14,6,8,42.86
porntubekingdom,79229,"['porn', 'tube', 'kingdom']",3,15,5,10,33.33
uni-tuebingen,78828,"['uni', 'tue', 'bingen']",3,13,6,7,46.15
profitablegatetocontent,78810,"['profitable', 'gate', 'content']",3,23,9,14,39.13
allhotelstexas,78798,"['all', 'hotels', 'texas']",3,14,5,9,35.71
uni-regensburg,78738,"['uni', 'regensburg']",2,14,5,9,35.71
ifddosthenkill,78194,"['dos', 'then', 'kill']",3,14,4,10,28.57
